;Название вакансии;Название компании;Город;Зарплата;Опыт работы;Описание;Требования;Тип занятости;Ключевые навыки;Источник
987;DevOps Engineer (Middle+);Globaldrive;Москва;200 000 руб.;3–6 лет;"Globaldrive — компания в сфере продаж техники для активного отдыха и туризма в России, входящая в топ-3 крупнейших игроков рынка. Мы имеем более 40 филиалов в 7 федеральных округах России. Миссия компании направлена на то, чтобы сблизить человека с природой. Мы помогаем открыть каждый уголок Родины вместе с нашей техникой. Мы в поисках DevOps Engineer (Middle+). Обязанности: Возможность развития и карьерного роста; Заработная плата будет обсуждаться с финальным кандидатом индивидуально, в зависимости от уровня компетенций; График работы: 5/2 8-часовой рабочий день, гибкое начало рабочего дня (возможность выбора нестандартного графика). Присоединяйся, если хочешь реализовывать крутые идеи, делать полезный рынку продукт и решать непростые задачи! Ждем тебя в команду единомышленников, которые выполняют свою работу и при этом получают удовольствие! Globaldrive — место, где можно начать свой путь к вершине успеха, раскрыть свои качества
                в полной мере и «прокачать» профессиональные компетенции!  Приглашаем в нашу команду! ООО «ЮГ МОТОРС» представляет бренд Globaldrive";Полная занятость;удаленная работа;"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Linux</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">CI/CD</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Git</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Gitlab</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Bash</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">DevOps</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Docker</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Nginx</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Clickhouse</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Elasticsearch</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Redis</span></div></div>";https://rabota1000.ru/vacancy/121831652
988;Senior QA-engineer;РОСБАНК;Москва;Договорная;3–6 лет;РОСБАНК – ЭТО КРУПНЫЙ БАНК, КОТОРЫЙ ВИДИТ ПРОДУКТЫ ГЛАЗАМИ КЛИЕНТОВ. Приглашаем Senior QA-engineer присоединиться к команде ПАО Росбанк. Обязанности: Требования: Условия:;Полная занятость;удаленная работа;"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Проведение тестирований</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Ручное тестирование</span></div></div>";https://rabota1000.ru/vacancy/114016179
989;Middle+ Automation QA engineer;АТОМ;Санкт-Петербург;Договорная;3–6 лет;Команда разработки электромобиля АТОМ приглашает QA engineer для работы над развитием экосистемы продукта! Мы ищем кандидатов с широким кругозором, способных осваивать новые технологии, создавать и оценивать предлагаемые решения. О компании: АТОМ — это более 500 специалистов в области IT, инженерии и других направлений из России, Китая и Европы. Мы — стабильно развивающаяся компания, сохраняющая дух дерзкого стартапа. О проекте: Мы стремимся к тому, чтобы создать новый компактный городской кроссовер для современного технологичного образа жизни, а так же выпустить специальные модификации электрокара для такси, каршеринга и служб доставки. Наш продукт — это не только сам автомобиль, но и множество дополнительных сервисов внутри, в облаке и мобильных приложениях. Мы создаем уникальный сервис для пассажиров и новые возможности для бизнеса и ищем тех, кому интересно быть причастным к этому. Весной этого года мы представили первый прототип электромобиля АТОМ, а теперь работаем над тем, чтобы первые автомобили поступили в продажу в 2025 году. О команде: В рамках направления занимаемся разработкой автомобильного симулятора для быстрой проверки идей и прототипирования инженерных решений, а также разработкой графической подсистемы, управляющей выводом всей графической информации электромобиля на экране и проекторе дополненной реальности. Чем предстоит заниматься:  Что нужно знать / уметь: Будет плюсом:  Что предлагаем: Интересный продукт, возможность создавать новые процессы и влиять на его развитие, Работа в команде классных профессионалов из России, Китая, Европы, Корпоративная культура, выстраиваемая в духе инноваций, открытые горизонтальные коммуникации, Конкурентная официальная белая заработная плата, Годовой бонус, Кафетерий льгот (“плюшки”) - питание, транспорт, страхование, фитнес, обучение и многое другое, Корпоративное оборудование, Гибридный формат работы Трудоустройство в аккредитованной IT-компании.  ;Полная занятость;полный день;"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">QA</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Bash</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Unit Testing</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Test case</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Unittest</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">ADB</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Jenkins</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Gitlab</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Android</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">AIDL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">MQTT</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Android Interface Definition Language</span></div></div>";https://rabota1000.ru/vacancy/114015607
990;Junior QA Engineer;Вайтлист;Екатеринбург;60 000 руб.;не требуется;"Привет! Мы — компания Whitelist работаем в сфере финансовых технологий, развивая инфраструктуру и сервисы для трейдеров, совершающих краткосрочные сделки на криптовалютной бирже. Наши основные продукты – облегчают жизнь трейдерам и позволяют эффективно торговать на Binance (уже более 1000 клиентов являются нашими постоянными пользователями) Мы начали свою работу в 2021 году, открыв направление криптовалютного трейдинга и стали одной из крупнейших трейдинговых компаний в России! А так же собрали и развили всю свою команду до 63 человека и расширяем её дальше Будем рады видеть в команде Junior QA Engineer:)   Чем предстоит заниматься:— Участие в процессах команды, оценка трудоемкости задач, проработка и декомпозиции задач;— Проводить ручное тестирование web, rest api,— Разрабатывать и актуализировать документацию (тест-кейсы, чек листы),— Регистрация дефектов в баг-трекере, воспроизведение и проверка исправлений;— Взаимодействие с командой разработки для исправления багов.   Что ждём:— Опыт работы на коммерческих проектах от полугода;— Уверенное владение теорией тестирования и техниками тест дизайна;— Понимание клиент-серверной архитектуры;— Понимание методологий тестирования, жизненного цикла ПО;— Опыт работы в Postman.— Опыт работы с тестовой документацией (тесты, тест-планы, чек-листы);— Знание этапов жизненного цикла дефектов;— Понимание роли инженера по тестированию ПО (QA) в процессе разработки.   Будет преимуществом: Опыт работы с финансовыми системами или трейдинговыми платформами; Опыт торгов на криптобирже.   Мы предлагаем: Нажми кнопку «Откликнуться» (сопроводительное письмо очень приветствуется – будет здорово, если отразишь в нём, что тебя привлекло в вакансии), будем знакомиться!";Полная занятость;удаленная работа;Не указано;https://rabota1000.ru/vacancy/117460150
991;Администратор баз данных / Инженер по СУБД (PostgreSQL Database Engineer);Ростелеком Информационные Технологии;Екатеринбург;Договорная;1–3 года;Ищем в команду инженера по СУБД PostgreSQL Мы - in-house-интегратор Ростелекома в статусе дочерней компании. Занимаемся разработкой ПО и ИТ- решений как для абонентов, так и для внутренних нужд компании. Postgres Database Engineer (Инженер по СУБД PostgreSQL) входит в команду развития инфраструктуры разработки и обеспечивает поддержку работоспособности СУБД для различных проектов и команд разработки. ➡️Чем предстоит заниматься: Помогать командам решать любые вопросы по созданию, настройке, обеспечению работоспособности баз в новых и существующих проектах до передачи этих СУБД в зону ответственности подразделений эксплуатации. Развертывать, настраивать и поддерживать работоспособность экземпляров СУБД PostgreSQL, Postgres Pro Standard, Postgres Pro Enterprise, Platform V Pangolin на виртуальных машинах и в контейнерных средах (OKD4, Docker, Podman). ⭐️Почему эта работа интересна: ➡️Мы ждем от кандидата: ➡️Будет плюсом: ✅Мы предлагаем: + Расширенный социальный пакет с возможностью выбора «плюшек»:;Полная занятость;полный день;"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">СУБД PostgreSQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Postgres Pro Standard</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Postgres Pro Enterprise</span></div></div>";https://rabota1000.ru/vacancy/114873618
992;DevOps Engineer (middle);Московская Биржа;Москва;Договорная;3–6 лет;В 2022 году Московской бирже исполнилось 30 лет. Мы появились вместе с современной Россией и за эти годы с нуля создали рынок инвестиций. Сегодня миллионы людей и тысячи компаний доверяют нам и пользуются нашей инфраструктурой. А еще мы активно развиваемся и давно вышли за рамки классического биржевого бизнеса. В #moexteam уже больше 2200 человек: ИТ-специалисты и эксперты по развитию рынков, продуктовые и проектные менеджеры, финансисты и юристы, маклеры и многие другие. Мы разные, но всех нас объединяет общая цель – помочь людям и компаниям управлять деньгами, используя передовые технологии и знания. В Департамент разработки платформы АСТС (Отдел автоматизации тестирования) открыта вакансия DevOps Engineer (middle) Чем предстоит заниматься Поддержка Linux серверов. Развертывание и поддержка тестовых сред. Участие в настройке и поддержке конвейера CI/CD. Мы ожидаем от вас Вашим преимуществом будет:   МЫ ПРЕДЛАГАЕМ Работа в MOEX – это…;Полная занятость;полный день;Не указано;https://rabota1000.ru/vacancy/65527830
993;Системный администратор Linux (DevOps engineer);ОФИСМАГ;Воронеж;120 000 – 170 000 руб.;1–3 года;"Вместе с нами в будущее Мы разрабатываем высоконагруженные интернет-магазины на платформе 1С-Битрикс, который может быть быстрым, если его ""правильно готовить"". Это не просто интернет-магазины, а SaaS решения для тысяч клиентов. У нас четкие выстроенные процессы, минимизирующие лишний стресс на работе. Дружная команда, готовая обучать и приходить на помощь. Мы совместно обсуждаем и решаем проблемы на основе принципа меритократии идей.В связи с расширением штата и запуском новых проектов ведётся подбор на вакансию cистемный администратор Linux/ DevOps engineer. Обязанности: Требования: Будет плюсом, если есть: Условия: О компании 30 лет на рынке 45 млрд. руб. оборота 50 городов присутствия 130 розничных гипермаркетов 3 000 сотрудников работают более 5 лет 7 000 компетентных сотрудников 40 000 товаров в ассортименте 170 000 кв.м. площадь складов Стань частью команды";Полная занятость;полный день;"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Linux</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Gitlab</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Kubernetes</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Nginx</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">CI/CD</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Английский — A1 — Начальный</span></div></div>";https://rabota1000.ru/vacancy/123245892
994;ML engineer (speech recognition);Bright Pattern, Inc;Москва;Договорная;более 6 лет;Bright Pattern is the highest-rated omnichannel contact center platform with the fastest time to deploy in the industry. Bright Pattern’s platform allows businesses to provide effortless omnichannel conversations across voice and digital channels along with omnichannel quality management. We are the only company in the industry providing a mobile app, Bright Pattern Mobile, that enables customers to connect with any employee across any channel via their mobile device. Vacancy ML Engineer (speech recognition) JOB REQUIREMENTS: ✔️High level of Python knowledge and expertise.✔️Knowledge of other programming languages such as C++ and Go.✔️Working experience with Linux, Git, Bash, and Docker.✔️ English language for documentation reading. NICE TO HAVE: It would be beneficial if you have knowledge in the following areas: ✔️Mathematical analysis, linear algebra, mathematical statistics, probability theory, dynamic programming, and numerical methods.✔️Understanding of machine learning algorithms related to speech analysis, including their design, underlying principles, and how to customize them for specific problems.✔️Familiarity with the modern ML stack, including PyTorch, ONNX, PyTest, and OpenVINO.✔️Understanding of speech processing theory and voice physics.✔️Experience with audio libraries such as Librosa, TorchAudio, and FFmpeg.✔️Some knowledge of well-known ASR libraries and systems, such as Kaldi, NVIDIA Nemo, ESPnet, Whisper, and Vosk. RESPONSIBILITIES: ✔️Implementing speech-to-text model in a production environment.✔️Focus on applied machine learning rather than fundamental research.✔️Collaborate with other engineers to combine and improve existing results.✔️This project is just the beginning, as there are several more projects and activities in the pipeline. WHAT WE OFFER: ✔️Possibility of relocation to California on an L1 or H1B visa.✔️Participation in the development of a complex, high-load product with real users.✔️Flexible schedule, allowing for remote work.✔️Opportunity to work with a high-level engineering team that offers valuable learning experiences. If you believe you have the skills and experience we're looking for, we would love to hear from you. Apply today to join our team of exceptional engineers!  ;Полная занятость;удаленная работа;"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">machine learning</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Python</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">C++</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">C</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Pytorch</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Linux</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Bash</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Docker</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Git</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Английский — B2 — Средне-продвинутый</span></div></div>";https://rabota1000.ru/vacancy/116075166
995;Junior DevOps Engineer;МЦЦ Томск;Томск;Договорная;1–3 года;Привет! Мы в MCC больше 15 лет разрабатываем различное программное обеспечение вокруг медицины сна, вентиляции лёгких, телемониторинга и не только. Такая важная область позволяет нам не только писать код, но и приносить миру и живущим в нем людям пользу и добро. А прямо сейчас мы ищем талантливого DevOps Engineer, который готов присоединиться к нашей команде. Нам не важно наличие большого багажа опыта, но важно желание и стремление расти и развиваться вместе с нами. Остальному - научим! Мы используем современные практики разработки и деплоя, стремимся автоматизировать рутинные задачи и повышать эффективность работы. Сейчас мы активно мигрируем нашу сетевую инфраструктуру на Infrastructure As A Code, а твое участие в этом процессе поможет нам в этом. Чем предстоит заниматься: Нам важно, чтобы у тебя были: Большим плюсом будет: Что тебя ждёт в нашей команде:;Полная занятость;гибкий график;"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">DevOps</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Английский язык</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Английский — B2 — Средне-продвинутый</span></div></div>";https://rabota1000.ru/vacancy/114410354
996;QA Engineer (Anyflow);Банк Санкт-Петербург;Санкт-Петербург;Договорная;1–3 года;"Строим
                        современный
                        цифровой банк Банк «Санкт-Петербург» - крупнейший коммерческий банк Северо-Западного региона России, приглашает в кросс-функциональную команду ""Открытие счета"" Middle QA Engineer (Anyflow). Команда занимается выстраиванием автоматизированного бизнес-процесса с использованием большого количества интеграций с внешними системами, а именно ЦФТ, CRM, системой по распознаванию документов, личным кабинетом, внешними системами для анализа клиентов банка по протоколам SOAP, REST. Задачи: Нам важно:  Будет плюсом:  Мы предлагаем: Пишем культурный код: Используем гибкие методологии. Больше всего любим Канбан‑метод. В IT-команде — коллеги с опытом работы в ведущих российских и зарубежных IT компаниях. Прокачиваем команду в Диджитал-академии по темам: soft skills, юнит‑экономика, digital‑маркетинг, agile, системный анализ, CJM, Big Data. Проводим IT‑митапы GeekHub для тимлидов, middle- и senior-специалистов. Запустили Braincamp — программу IT‑стажировок для выпускников и студентов. Развиваем экспертизу в направлениях: DevOps, Big Data, Quality Assurance, UX/UI‑дизайн, микросервисная архитектура.";Полная занятость;полный день;"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SQL</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Git</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">XML</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">SOAP</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Функциональное тестирование</span></div></div>";https://rabota1000.ru/vacancy/115250324
997;Middle QA Engineer;Digital Oxygen;Пенза;40 000 руб.;1–3 года;"Студия разработки AR и VR проектов Digital Oxygen помогает крупному и среднему бизнесу создавать эффективные технические решения для продвижения своих брендов.Мы одни из первых в России, кто начал разрабатывать решения с дополненной и виртуальной реальностью. Миссией нашей компании является решение конкретных бизнес-задач клиента с помощью инновационных технологий и создание цифровых продуктов, которые впечатляют конечных пользователей. В нашей компании открыта вакансия Middle QA Engineer. Чем предстоит заниматься: Ручное тестирование Работа с функциональным, нагрузочным и другими видами тестирования Создание тестовой документации: тест-дизайн, описание тест-кейсов Анализ инцидентов и постановка задач разработчикам Опыт работы тестировщиком от 2 лет Опыт тестирования мобильных приложений Понимание гибких методологий разработки (scrum) Проводить регрессионное тестирование Понимать, что такое API и как его тестировать Вовлеченность в проект и заинтересованность в развитии себя в QA направлении Будет плюсом: Знания\опыт в специфических видах тестирования (тестирование безопасности, нагрузки, usability) Возможность работать над крупными интересными AR/VR, игровыми и бизнес-проектами Работа в современном офисе, необходимый парк устройств для тестирования, оборудованное рабочее место Friendly атмосфера: отсутствие дресс-кода, все общаемся на «ты»,открытость ТОП-менеджмента компании В офисе: кофе/чай, стол для пинг-понга, комната отдыха, по пятницам Nintendo Switch, рядом есть столовые/магазины Корпоративная скидка на бронирование отелей по всему миру от сервиса Ostrovok.ru Оплачиваемый ежегодный отпуск График работы: пн-пт с 9:00 до 18:00 или с 9:30 до 18:30, 5/2, обеденный перерыв с 12:00-13:00. Процесс трудоустройства выглядит следующим образом: Ваш отклик на вакансию; 15 минутное общение с HR; Техническое собеседование.";Полная занятость;полный день;"<div class=""bloko-tag-list""><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Ручное тестирование</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Функциональное тестирование</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">API</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Написание тест-кейсов</span></div><div class=""bloko-tag bloko-tag_inline"" data-qa=""bloko-tag bloko-tag_inline skills-element""><span class=""bloko-tag__section bloko-tag__section_text"" data-qa=""bloko-tag__text"">Теория тестирования</span></div></div>";https://rabota1000.ru/vacancy/121439633
